sexe,preusuel,annais,dpt,nombre
1,CAMILLE,2007,77,8
1,CAMILLE,2007,78,10
1,CAMILLE,2007,79,5
1,CAMILLE,2007,80,6
1,CAMILLE,2007,81,4
1,CAMILLE,2007,83,3
1,CAMILLE,2007,84,6
1,CAMILLE,2007,85,6
1,CAMILLE,2007,86,3
1,CAMILLE,2007,87,4
1,CAMILLE,2007,89,3
1,CAMILLE,2007,91,4
1,CAMILLE,2007,92,14
1,CAMILLE,2007,93,4
1,CAMILLE,2007,94,6
1,CAMILLE,2007,95,14
1,CAMILLE,2007,971,3
1,CAMILLE,2007,974,4
1,CAMILLE,2008,01,6
1,CAMILLE,2008,02,6
1,CAMILLE,2008,06,8
1,CAMILLE,2008,10,4
1,CAMILLE,2008,12,4
1,CAMILLE,2008,13,18
1,CAMILLE,2008,14,4
1,CAMILLE,2008,16,3
1,CAMILLE,2008,17,10
1,CAMILLE,2008,18,3
1,CAMILLE,2008,21,10
1,CAMILLE,2008,22,3
1,CAMILLE,2008,24,3
1,CAMILLE,2008,25,8
1,CAMILLE,2008,26,5
1,CAMILLE,2008,28,5
1,CAMILLE,2008,29,8
1,CAMILLE,2008,30,3
1,CAMILLE,2008,31,15
1,CAMILLE,2008,33,18
1,CAMILLE,2008,34,11
1,CAMILLE,2008,35,18
1,CAMILLE,2008,36,3
1,CAMILLE,2008,37,10
1,CAMILLE,2008,38,13
1,CAMILLE,2008,42,6
1,CAMILLE,2008,44,17
1,CAMILLE,2008,45,4
1,CAMILLE,2008,47,3
1,CAMILLE,2008,49,6
1,CAMILLE,2008,50,5
1,CAMILLE,2008,51,8
1,CAMILLE,2008,54,7
1,CAMILLE,2008,56,5
1,CAMILLE,2008,58,4
1,CAMILLE,2008,59,22
1,CAMILLE,2008,60,6
1,CAMILLE,2008,61,3
1,CAMILLE,2008,62,9
1,CAMILLE,2008,63,7
1,CAMILLE,2008,64,4
1,CAMILLE,2008,66,4
1,CAMILLE,2008,67,3
1,CAMILLE,2008,69,24
1,CAMILLE,2008,71,11
1,CAMILLE,2008,72,9
1,CAMILLE,2008,73,5
1,CAMILLE,2008,74,8
1,CAMILLE,2008,75,40
1,CAMILLE,2008,76,14
1,CAMILLE,2008,77,7
1,CAMILLE,2008,78,9
1,CAMILLE,2008,79,4
1,CAMILLE,2008,80,3
1,CAMILLE,2008,83,3
1,CAMILLE,2008,84,8
1,CAMILLE,2008,85,7
1,CAMILLE,2008,86,4
1,CAMILLE,2008,87,3
1,CAMILLE,2008,89,3
1,CAMILLE,2008,91,10
1,CAMILLE,2008,92,15
1,CAMILLE,2008,93,3
1,CAMILLE,2008,94,6
1,CAMILLE,2008,95,4
1,CAMILLE,2008,971,3
1,CAMILLE,2008,974,7
1,CAMILLE,2009,01,6
1,CAMILLE,2009,03,5
1,CAMILLE,2009,06,6
1,CAMILLE,2009,07,3
1,CAMILLE,2009,08,4
1,CAMILLE,2009,12,4
1,CAMILLE,2009,13,21
1,CAMILLE,2009,14,11
1,CAMILLE,2009,16,4
1,CAMILLE,2009,17,9
1,CAMILLE,2009,18,5
1,CAMILLE,2009,21,6
1,CAMILLE,2009,25,9
1,CAMILLE,2009,26,10
1,CAMILLE,2009,28,5
1,CAMILLE,2009,29,6
1,CAMILLE,2009,30,5
1,CAMILLE,2009,31,11
1,CAMILLE,2009,33,19
1,CAMILLE,2009,34,12
1,CAMILLE,2009,35,16
1,CAMILLE,2009,37,4
1,CAMILLE,2009,38,16
1,CAMILLE,2009,42,4
1,CAMILLE,2009,43,5
1,CAMILLE,2009,44,12
1,CAMILLE,2009,45,8
1,CAMILLE,2009,49,14
1,CAMILLE,2009,50,7
1,CAMILLE,2009,51,12
1,CAMILLE,2009,54,4
1,CAMILLE,2009,56,3
1,CAMILLE,2009,57,5
1,CAMILLE,2009,59,15
1,CAMILLE,2009,60,4
