TRAGE_12;CE;SEXE;CS1;BRUT_EQTP;EQTP
30;N;H;5;24049;26786
30;N;H;6N;23758;20585
30;N;H;6Q;26822;24960
30;N;F;T;26988;122688
30;N;F;3;45172;10661
30;N;F;4;30748;22636
30;N;F;5;23959;72595
30;N;F;6N;22250;11495
30;N;F;6Q;26106;5300
35;T;E;T;36850;2161575
35;T;E;3;57061;499599
35;T;E;4;37090;470574
35;T;E;5;27977;555812
35;T;E;6N;24753;178593
35;T;E;6Q;30029;456997
35;T;H;T;38131;1286163
35;T;H;3;58771;303375
35;T;H;4;39402;250604
35;T;H;5;29247;188499
35;T;H;6N;25439;131305
35;T;H;6Q;30275;412380
35;T;F;T;34970;875412
35;T;F;3;54418;196224
35;T;F;4;34456;219970
35;T;F;5;27324;367313
35;T;F;6N;22850;47288
35;T;F;6Q;27756;44617
35;C;E;T;37727;1899697
35;C;E;3;57856;456764
35;C;E;4;37447;423982
35;C;E;5;28653;451906
35;C;E;6N;25179;143508
35;C;E;6Q;30231;423536
35;C;H;T;38652;1183641
35;C;H;3;59590;280386
35;C;H;4;39563;238548
35;C;H;5;29761;168218
35;C;H;6N;25751;111218
35;C;H;6Q;30456;385272
35;C;F;T;36197;716056
35;C;F;3;55099;176378
35;C;F;4;34726;185434
35;C;F;5;27996;283688
35;C;F;6N;23211;32291
35;C;F;6Q;27963;38265
35;N;E;T;30495;261879
35;N;E;3;48591;42835
35;N;E;4;33841;46593
35;N;E;5;25034;103906
35;N;E;6N;23010;35085
35;N;E;6Q;27475;33461
35;N;H;T;32114;102522
35;N;H;3;48791;22989
35;N;H;4;36224;12056
35;N;H;5;24988;20281
35;N;H;6N;23709;20087
35;N;H;6Q;27702;27108
35;N;F;T;29453;159357
35;N;F;3;48360;19846
35;N;F;4;33009;34537
35;N;F;5;25045;83624
35;N;F;6N;22074;14997
35;N;F;6Q;26507;6352
40;T;E;T;39748;2138385
40;T;E;3;64597;513869
40;T;E;4;38685;468791
40;T;E;5;28753;519367
40;T;E;6N;24989;173432
40;T;E;6Q;31106;462927
40;T;H;T;41522;1270249
40;T;H;3;67114;318511
40;T;H;4;40796;250829
40;T;H;5;30128;163419
40;T;H;6N;25838;120816
40;T;H;6Q;31413;416674
40;T;F;T;37152;868136
40;T;F;3;60493;195358
40;T;F;4;36256;217962
40;T;F;5;28122;355948
40;T;F;6N;23039;52616
40;T;F;6Q;28340;46253
40;C;E;T;40840;1852616
40;C;E;3;66059;458033
40;C;E;4;39079;416621
40;C;E;5;29512;413361
40;C;E;6N;25616;135518
40;C;E;6Q;31350;429083
40;C;H;T;42101;1166397
40;C;H;3;68459;289968
40;C;H;4;40925;238906
40;C;H;5;30658;146325
40;C;H;6N;26282;101572
40;C;H;6Q;31627;389626
40;C;F;T;38696;686220
40;C;F;3;61919;168064
40;C;F;4;36597;177715
40;C;F;5;28883;267036
40;C;F;6N;23625;33947
40;C;F;6Q;28608;39457
40;N;E;T;32671;285769
40;N;E;3;52601;55836
40;N;E;4;35541;52170
40;N;E;5;25797;106006
40;N;E;6N;22747;37913
40;N;E;6Q;28018;33844
40;N;H;T;35020;103852
40;N;H;3;53451;28542
40;N;H;4;38201;11924
40;N;H;5;25589;17094
40;N;H;6N;23496;19244
40;N;H;6Q;28329;27048
40;N;F;T;31330;181917
40;N;F;3;51712;27294
40;N;F;4;34752;40246
40;N;F;5;25837;88912
40;N;F;6N;21975;18669
40;N;F;6Q;26779;6796
45;T;E;T;42599;2037001
45;T;E;3;71127;520969
45;T;E;4;40288;447309
45;T;E;5;29332;472717
45;T;E;6N;25042;167975
45;T;E;6Q;31832;428031
45;T;H;T;44968;1199174
45;T;H;3;74322;326565
45;T;H;4;42339;241183
45;T;H;5;30677;142388
45;T;H;6N;25993;109038
45;T;H;6Q;32211;380001
45;T;F;T;39207;837827
45;T;F;3;65760;194404
45;T;F;4;37889;206126
45;T;F;5;28752;330329
45;T;F;6N;23281;58937
45;T;F;6Q;28837;48031
45;C;E;T;43871;1753624
45;C;E;3;72662;461796
45;C;E;4;40694;398091
45;C;E;5;30156;371654
45;C;E;6N;25842;126812
45;C;E;6Q;32113;395270
45;C;H;T;45585;1096960
45;C;H;3;75645;296172
45;C;H;4;42488;229345
45;C;H;5;31237;126889
45;C;H;6N;26547;90470
45;C;H;6Q;32454;354084
45;C;F;T;41006;656663
45;C;F;3;67327;165624
45;C;F;4;38256;168745
45;C;F;5;29595;244766
45;C;F;6N;24087;36343
45;C;F;6Q;29177;41186
45;N;E;T;34727;283377
45;N;E;3;59148;59173
45;N;E;4;37006;49218
45;N;E;5;26302;101062
45;N;E;6N;22576;41162
45;N;E;6Q;28447;32761
45;N;H;T;38347;102214
45;N;H;3;61427;30393
45;N;H;4;39459;11838
45;N;H;5;26098;15499
45;N;H;6N;23295;18568
45;N;H;6Q;28885;25916
45;N;F;T;32684;181163
45;N;F;3;56743;28781
45;N;F;4;36229;37381
45;N;F;5;26338;85563
45;N;F;6N;21986;22594
45;N;F;6Q;26792;6845
50;T;E;T;44579;2114326
50;T;E;3;77725;540220
50;T;E;4;41599;442494
50;T;E;5;29520;495591
50;T;E;6N;25094;178440
50;T;E;6Q;32237;457580
50;T;H;T;47908;1237795
50;T;H;3;81932;346725
50;T;H;4;43773;242038
50;T;H;5;31097;139057
50;T;H;6N;26200;107732
50;T;H;6Q;32695;402244
50;T;F;T;39878;876530
50;T;F;3;70187;193495
50;T;F;4;38975;200456
50;T;F;5;28905;356534
50;T;F;6N;23411;70708
50;T;F;6Q;28907;55336
50;C;E;T;45989;1815197
50;C;E;3;79168;478515
50;C;E;4;42026;396509
50;C;E;5;30462;383933
50;C;E;6N;26030;132105
50;C;E;6Q;32532;424134
50;C;H;T;48425;1133428
50;C;H;3;83090;313449
50;C;H;4;43940;230386
50;C;H;5;31655;123707
50;C;H;6N;26855;89457
50;C;H;6Q;32943;376429
50;C;F;T;41938;681770
50;C;F;3;71720;165067
50;C;F;4;39372;166123
50;C;F;5;29894;260226
50;C;F;6N;24297;42648
50;C;F;6Q;29290;47705
50;N;E;T;36026;299129
50;N;E;3;66542;61704
50;N;E;4;37918;45985
50;N;E;5;26281;111658
50;N;E;6N;22428;46335
50;N;E;6Q;28495;33446
50;N;H;T;42296;104368
50;N;H;3;71032;33276
50;N;H;4;40469;11652
50;N;H;5;26596;15350
50;N;H;6N;22989;18274
50;N;H;6Q;29082;25815
50;N;F;T;32666;194761
50;N;F;3;61287;28428
50;N;F;4;37052;34333
50;N;F;5;26231;96308
50;N;F;6N;22063;28061
50;N;F;6Q;26509;7631
55;T;E;T;44902;1982171
55;T;E;3;80932;477396
55;T;E;4;42674;401769
55;T;E;5;29687;470336
55;T;E;6N;25184;172216
55;T;E;6Q;32409;460453
55;T;H;T;48876;1163089
55;T;H;3;86094;314877
55;T;H;4;44846;223536
55;T;H;5;31297;122025
55;T;H;6N;26342;99169
55;T;H;6Q;32917;403481
55;T;F;T;39260;819082
55;T;F;3;70930;162519
55;T;F;4;39949;178233
55;T;F;5;29122;348311
55;T;F;6N;23611;73048
55;T;F;6Q;28806;56972
55;C;E;T;46395;1686823
55;C;E;3;82300;419895
55;C;E;4;43137;359922
55;C;E;5;30749;355127
55;C;E;6N;26261;124664
55;C;E;6Q;32732;427214
55;C;H;T;49261;1063623
55;C;H;3;87187;281969
55;C;H;4;45000;212867
55;C;H;5;31868;108005
